Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Length (m),Width (m),Vehicle Number,TDM (s),MFD (m),EI (m/s)
1.29033,-1.75045,-27.6008,-2.96e-05,1.570152745,4.72,1.83,1,,,
1.29033,-129.497,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.30033,-1.75045,-27.6008,-2.85e-05,1.570152745,4.72,1.83,1,,,
1.30033,-129.33,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.31034,-1.75045,-27.6008,-2.74e-05,1.570152745,4.72,1.83,1,,,
1.31034,-129.164,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.32034,-1.75045,-27.6008,-2.64e-05,1.570152745,4.72,1.83,1,,,
1.32034,-128.997,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.33034,-1.75045,-27.6008,-2.54e-05,1.570152745,4.72,1.83,1,,,
1.33034,-128.831,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.34034,-1.75045,-27.6008,-2.44e-05,1.570152745,4.72,1.83,1,,,
1.34034,-128.664,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.35035,-1.75045,-27.6008,-2.35e-05,1.570152745,4.72,1.83,1,,,
1.35035,-128.497,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.36035,-1.75045,-27.6008,-2.26e-05,1.570152745,4.72,1.83,1,,,
1.36035,-128.331,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.37035,-1.75045,-27.6008,-2.17e-05,1.570152745,4.72,1.83,1,,,
1.37035,-128.164,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.38035,-1.75045,-27.6008,-2.08e-05,1.570152745,4.72,1.83,1,,,
1.38035,-127.997,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.39036,-1.75045,-27.6008,-2e-05,1.570152745,4.72,1.83,1,,,
1.39036,-127.831,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.40036,-1.75045,-27.6008,-1.92e-05,1.570152745,4.72,1.83,1,,,
1.40036,-127.664,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.41036,-1.75045,-27.6008,-1.84e-05,1.570152745,4.72,1.83,1,,,
1.41036,-127.497,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.42036,-1.75045,-27.6008,-1.77e-05,1.570152745,4.72,1.83,1,,,
1.42036,-127.33,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.43037,-1.75045,-27.6008,-1.7e-05,1.570152745,4.72,1.83,1,,,
1.43037,-127.163,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.44037,-1.75045,-27.6008,-1.63e-05,1.570152745,4.72,1.83,1,,,
1.44037,-126.997,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.45037,-1.75045,-27.6008,-1.57e-05,1.570152745,4.72,1.83,1,,,
1.45037,-126.83,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.46037,-1.75045,-27.6008,-1.51e-05,1.570152745,4.72,1.83,1,,,
1.46037,-126.663,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.47038,-1.75045,-27.6008,-1.45e-05,1.570152745,4.72,1.83,1,,,
1.47038,-126.497,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.48038,-1.75045,-27.6008,-1.39e-05,1.570152745,4.72,1.83,1,,,
1.48038,-126.33,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.49038,-1.75045,-27.6008,-1.33e-05,1.570152745,4.72,1.83,1,,,
1.49038,-126.164,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.50039,-1.75045,-27.6008,-1.28e-05,1.570152745,4.72,1.83,1,,,
1.50039,-125.997,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.51039,-1.75045,-27.6008,-1.23e-05,1.570152745,4.72,1.83,1,,,
1.51039,-125.83,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.52039,-1.75045,-27.6008,-1.17e-05,1.570152745,4.72,1.83,1,,,
1.52039,-125.663,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.53039,-1.75045,-27.6008,-1.13e-05,1.570152745,4.72,1.83,1,,,
1.53039,-125.496,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.5404,-1.75045,-27.6008,-1.08e-05,1.570152745,4.72,1.83,1,,,
1.5404,-125.33,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.5504,-1.75045,-27.6008,-1.03e-05,1.570152745,4.72,1.83,1,,,
1.5504,-125.163,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.5604,-1.75045,-27.6008,-9.92e-06,1.570152745,4.72,1.83,1,,,
1.5604,-124.996,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.5704,-1.75045,-27.6008,-9.5e-06,1.570152745,4.72,1.83,1,,,
1.5704,-124.829,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.58041,-1.75045,-27.6008,-9.11e-06,1.570152745,4.72,1.83,1,,,
1.58041,-124.662,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.59041,-1.75045,-27.6008,-8.72e-06,1.570152745,4.72,1.83,1,,,
1.59041,-124.496,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.60041,-1.75045,-27.6008,-8.36e-06,1.570152745,4.72,1.83,1,,,
1.60041,-124.329,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.61041,-1.75045,-27.6008,-8e-06,1.570152745,4.72,1.83,1,,,
1.61041,-124.162,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.62042,-1.75045,-27.6008,-7.67e-06,1.570152745,4.72,1.83,1,,,
1.62042,-123.996,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.63042,-1.75045,-27.6008,-7.33e-06,1.570152745,4.72,1.83,1,,,
1.63042,-123.829,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.64042,-1.75045,-27.6008,-7e-06,1.570152745,4.72,1.83,1,,,
1.64042,-123.663,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.65042,-1.75045,-27.6008,-6.67e-06,1.570152745,4.72,1.83,1,,,
1.65042,-123.496,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.66043,-1.75045,-27.6008,-6.36e-06,1.570152745,4.72,1.83,1,,,
1.66043,-123.329,-1.7,16.66666667,0.0,4.72,1.83,4,,,
1.67043,-1.75045,-27.6008,-6.03e-06,1.570152745,4.72,1.83,1,,,
1.67043,-123.163,-1.7,16.66666667,0.0,4.72,1.83,4,,,
